Co2,PV,Demand,Time-stamp,Timestamp
30.0,0.0,1.324,,2023-01-01 00:00:00
30.06896552,0.0,1.32,,2023-01-01 00:01:00
30.13793103,0.0,1.318,,2023-01-01 00:02:00
30.20689655,0.0,1.32,,2023-01-01 00:03:00
30.27586207,0.0,1.312,,2023-01-01 00:04:00
30.34482759,0.0,1.314,,2023-01-01 00:05:00
30.4137931,0.0,1.316,,2023-01-01 00:06:00
30.48275862,0.0,1.318,,2023-01-01 00:07:00
30.55172414,0.0,1.254,,2023-01-01 00:08:00
30.62068966,0.0,1.254,,2023-01-01 00:09:00
30.68965517,0.0,1.252,,2023-01-01 00:10:00
30.75862069,0.0,1.206,,2023-01-01 00:11:00
30.82758621,0.0,0.194,,2023-01-01 00:12:00
30.89655172,0.0,0.194,,2023-01-01 00:13:00
30.96551724,0.0,0.194,,2023-01-01 00:14:00
31.03448276,0.0,0.194,,2023-01-01 00:15:00
31.10344828,0.0,0.194,,2023-01-01 00:16:00
31.17241379,0.0,0.194,,2023-01-01 00:17:00
31.24137931,0.0,0.194,,2023-01-01 00:18:00
31.31034483,0.0,0.194,,2023-01-01 00:19:00
31.37931034,0.0,0.194,,2023-01-01 00:20:00
31.44827586,0.0,0.194,,2023-01-01 00:21:00
31.51724138,0.0,0.292,,2023-01-01 00:22:00
31.5862069,0.0,0.304,,2023-01-01 00:23:00
31.65517241,0.0,0.3,,2023-01-01 00:24:00
31.72413793,0.0,0.298,,2023-01-01 00:25:00
31.79310345,0.0,0.296,,2023-01-01 00:26:00
31.86206897,0.0,0.294,,2023-01-01 00:27:00
31.93103448,0.0,0.294,,2023-01-01 00:28:00
32.0,0.0,0.294,,2023-01-01 00:29:00
32.0,0.0,0.292,,2023-01-01 00:30:00
31.96551724,0.0,0.292,,2023-01-01 00:31:00
31.93103448,0.0,0.29,,2023-01-01 00:32:00
31.89655172,0.0,0.29,,2023-01-01 00:33:00
31.86206897,0.0,0.29,,2023-01-01 00:34:00
31.82758621,0.0,0.29,,2023-01-01 00:35:00
31.79310345,0.0,0.29,,2023-01-01 00:36:00
31.75862069,0.0,0.288,,2023-01-01 00:37:00
31.72413793,0.0,0.288,,2023-01-01 00:38:00
31.68965517,0.0,0.262,,2023-01-01 00:39:00
31.65517241,0.0,0.272,,2023-01-01 00:40:00
31.62068966,0.0,0.272,,2023-01-01 00:41:00
31.5862069,0.0,0.272,,2023-01-01 00:42:00
31.55172414,0.0,0.272,,2023-01-01 00:43:00
31.51724138,0.0,0.27,,2023-01-01 00:44:00
31.48275862,0.0,0.27,,2023-01-01 00:45:00
31.44827586,0.0,0.268,,2023-01-01 00:46:00
31.4137931,0.0,0.266,,2023-01-01 00:47:00
31.37931034,0.0,0.266,,2023-01-01 00:48:00
31.34482759,0.0,0.266,,2023-01-01 00:49:00
31.31034483,0.0,0.222,,2023-01-01 00:50:00
31.27586207,0.0,0.194,,2023-01-01 00:51:00
31.24137931,0.0,0.194,,2023-01-01 00:52:00
31.20689655,0.0,0.194,,2023-01-01 00:53:00
31.17241379,0.0,0.194,,2023-01-01 00:54:00
31.13793103,0.0,0.194,,2023-01-01 00:55:00
31.10344828,0.0,0.194,,2023-01-01 00:56:00
31.06896552,0.0,0.196,,2023-01-01 00:57:00
31.03448276,0.0,0.196,,2023-01-01 00:58:00
31.0,0.0,0.196,,2023-01-01 00:59:00
31.0,0.0,0.196,,2023-01-01 01:00:00
30.93103448,0.0,0.196,,2023-01-01 01:01:00
30.86206897,0.0,0.194,,2023-01-01 01:02:00
30.79310345,0.0,0.194,,2023-01-01 01:03:00
30.72413793,0.0,0.294,,2023-01-01 01:04:00
30.65517241,0.0,0.306,,2023-01-01 01:05:00
30.5862069,0.0,0.302,,2023-01-01 01:06:00
30.51724138,0.0,0.3,,2023-01-01 01:07:00
30.44827586,0.0,0.298,,2023-01-01 01:08:00
30.37931034,0.0,0.296,,2023-01-01 01:09:00
30.31034483,0.0,0.296,,2023-01-01 01:10:00
30.24137931,0.0,0.294,,2023-01-01 01:11:00
30.17241379,0.0,0.294,,2023-01-01 01:12:00
30.10344828,0.0,0.292,,2023-01-01 01:13:00
30.03448276,0.0,0.29,,2023-01-01 01:14:00
29.96551724,0.0,0.292,,2023-01-01 01:15:00
29.89655172,0.0,0.29,,2023-01-01 01:16:00
29.82758621,0.0,0.29,,2023-01-01 01:17:00
29.75862069,0.0,0.29,,2023-01-01 01:18:00
29.68965517,0.0,0.29,,2023-01-01 01:19:00
29.62068966,0.0,0.288,,2023-01-01 01:20:00
29.55172414,0.0,0.224,,2023-01-01 01:21:00
29.48275862,0.0,0.256,,2023-01-01 01:22:00
29.4137931,0.0,0.272,,2023-01-01 01:23:00
29.34482759,0.0,0.272,,2023-01-01 01:24:00
29.27586207,0.0,0.272,,2023-01-01 01:25:00
29.20689655,0.0,0.272,,2023-01-01 01:26:00
29.13793103,0.0,0.27,,2023-01-01 01:27:00
29.06896552,0.0,0.27,,2023-01-01 01:28:00
29.0,0.0,0.268,,2023-01-01 01:29:00
29.0,0.0,0.268,,2023-01-01 01:30:00
28.96551724,0.0,0.266,,2023-01-01 01:31:00
28.93103448,0.0,0.256,,2023-01-01 01:32:00
28.89655172,0.0,0.196,,2023-01-01 01:33:00
28.86206897,0.0,0.196,,2023-01-01 01:34:00
28.82758621,0.0,0.196,,2023-01-01 01:35:00
28.79310345,0.0,0.196,,2023-01-01 01:36:00
28.75862069,0.0,0.196,,2023-01-01 01:37:00
28.72413793,0.0,0.196,,2023-01-01 01:38:00
28.68965517,0.0,0.196,,2023-01-01 01:39:00
28.65517241,0.0,0.238,,2023-01-01 01:40:00
28.62068966,0.0,0.282,,2023-01-01 01:41:00
28.5862069,0.0,0.28,,2023-01-01 01:42:00
28.55172414,0.0,0.28,,2023-01-01 01:43:00
28.51724138,0.0,0.282,,2023-01-01 01:44:00
28.48275862,0.0,0.282,,2023-01-01 01:45:00
28.44827586,0.0,0.31,,2023-01-01 01:46:00
28.4137931,0.0,0.392,,2023-01-01 01:47:00
28.37931034,0.0,0.388,,2023-01-01 01:48:00
28.34482759,0.0,0.386,,2023-01-01 01:49:00
28.31034483,0.0,0.382,,2023-01-01 01:50:00
28.27586207,0.0,0.382,,2023-01-01 01:51:00
28.24137931,0.0,0.378,,2023-01-01 01:52:00
